0,0,1474,670,-1,-1,-1,-1
0,1,1629,772,-1,-1,-1,-1
0,2,1669,547,-1,-1,-1,-1
0,3,1869,428,-1,-1,-1,-1
0,4,1816,595,-1,-1,-1,-1
0,5,1800,341,-1,-1,-1,-1
1,0,1472,675,-1,-1,-1,-1
1,1,1628,778,-1,-1,-1,-1
1,2,1666,552,-1,-1,-1,-1
1,3,1868,429,-1,-1,-1,-1
1,4,1815,599,-1,-1,-1,-1
1,5,1800,341,-1,-1,-1,-1
2,0,1471,675,-1,-1,-1,-1
2,1,1628,780,-1,-1,-1,-1
2,2,1666,552,-1,-1,-1,-1
2,3,1868,429,-1,-1,-1,-1
2,4,1815,600,-1,-1,-1,-1
2,5,1800,341,-1,-1,-1,-1
3,0,1471,674,-1,-1,-1,-1
3,1,1628,781,-1,-1,-1,-1
3,2,1666,551,-1,-1,-1,-1
3,3,1868,429,-1,-1,-1,-1
3,4,1815,599,-1,-1,-1,-1
3,5,1796,341,-1,-1,-1,-1
4,0,1471,673,-1,-1,-1,-1
4,1,1628,781,-1,-1,-1,-1
4,2,1666,550,-1,-1,-1,-1
4,3,1868,428,-1,-1,-1,-1
4,4,1815,599,-1,-1,-1,-1
4,5,1796,342,-1,-1,-1,-1
5,0,1471,673,-1,-1,-1,-1
5,1,1628,780,-1,-1,-1,-1
5,2,1666,550,-1,-1,-1,-1
5,3,1868,428,-1,-1,-1,-1
5,4,1815,599,-1,-1,-1,-1
5,5,1796,342,-1,-1,-1,-1
6,0,1471,673,-1,-1,-1,-1
6,1,1628,780,-1,-1,-1,-1
6,2,1666,550,-1,-1,-1,-1
6,3,1868,428,-1,-1,-1,-1
6,4,1815,599,-1,-1,-1,-1
6,5,1796,342,-1,-1,-1,-1
7,0,1472,672,-1,-1,-1,-1
7,1,1628,780,-1,-1,-1,-1
7,2,1666,550,-1,-1,-1,-1
7,3,1868,428,-1,-1,-1,-1
7,4,1816,599,-1,-1,-1,-1
7,5,1796,342,-1,-1,-1,-1
8,0,1474,671,-1,-1,-1,-1
8,1,1627,780,-1,-1,-1,-1
8,2,1666,549,-1,-1,-1,-1
8,3,1868,428,-1,-1,-1,-1
8,4,1816,599,-1,-1,-1,-1
8,5,1795,342,-1,-1,-1,-1
9,0,1477,669,-1,-1,-1,-1
9,1,1627,780,-1,-1,-1,-1
9,2,1668,548,-1,-1,-1,-1
9,3,1869,428,-1,-1,-1,-1
9,4,1818,598,-1,-1,-1,-1
9,5,1794,342,-1,-1,-1,-1
10,0,1482,666,-1,-1,-1,-1
10,1,1627,780,-1,-1,-1,-1
10,2,1670,546,-1,-1,-1,-1
10,3,1869,426,-1,-1,-1,-1
10,4,1820,595,-1,-1,-1,-1
10,5,1794,342,-1,-1,-1,-1
11,0,1486,664,-1,-1,-1,-1
11,1,1628,779,-1,-1,-1,-1
11,2,1673,545,-1,-1,-1,-1
11,3,1870,425,-1,-1,-1,-1
11,4,1823,592,-1,-1,-1,-1
11,5,1795,342,-1,-1,-1,-1
12,0,1492,661,-1,-1,-1,-1
12,1,1629,777,-1,-1,-1,-1
12,2,1677,543,-1,-1,-1,-1
12,3,1871,425,-1,-1,-1,-1
12,4,1827,589,-1,-1,-1,-1
12,5,1795,342,-1,-1,-1,-1
13,0,1499,657,-1,-1,-1,-1
13,1,1631,775,-1,-1,-1,-1
13,2,1680,541,-1,-1,-1,-1
13,3,1872,424,-1,-1,-1,-1
13,4,1831,585,-1,-1,-1,-1
13,5,1794,342,-1,-1,-1,-1
14,0,1506,652,-1,-1,-1,-1
14,1,1634,772,-1,-1,-1,-1
14,2,1684,538,-1,-1,-1,-1
14,3,1874,423,-1,-1,-1,-1
14,4,1834,582,-1,-1,-1,-1
14,5,1793,342,-1,-1,-1,-1
15,0,1515,648,-1,-1,-1,-1
15,1,1637,770,-1,-1,-1,-1
15,2,1689,536,-1,-1,-1,-1
15,3,1875,422,-1,-1,-1,-1
15,4,1838,579,-1,-1,-1,-1
15,5,1790,342,-1,-1,-1,-1
16,0,1523,642,-1,-1,-1,-1
16,1,1640,767,-1,-1,-1,-1
16,2,1694,533,-1,-1,-1,-1
16,3,1877,420,-1,-1,-1,-1
16,4,1842,576,-1,-1,-1,-1
16,5,1788,342,-1,-1,-1,-1
17,0,1533,636,-1,-1,-1,-1
17,1,1644,762,-1,-1,-1,-1
17,2,1699,530,-1,-1,-1,-1
17,3,1879,417,-1,-1,-1,-1
17,4,1847,573,-1,-1,-1,-1
17,5,1786,343,-1,-1,-1,-1
18,0,1542,631,-1,-1,-1,-1
18,1,1650,758,-1,-1,-1,-1
18,2,1703,526,-1,-1,-1,-1
18,3,1881,414,-1,-1,-1,-1
18,4,1852,569,-1,-1,-1,-1
18,5,1785,343,-1,-1,-1,-1
19,0,1550,625,-1,-1,-1,-1
19,1,1656,751,-1,-1,-1,-1
19,2,1709,523,-1,-1,-1,-1
19,3,1883,412,-1,-1,-1,-1
19,4,1856,564,-1,-1,-1,-1
19,5,1783,345,-1,-1,-1,-1
20,0,1558,620,-1,-1,-1,-1
20,1,1663,747,-1,-1,-1,-1
20,2,1716,518,-1,-1,-1,-1
20,3,1885,409,-1,-1,-1,-1
20,4,1861,560,-1,-1,-1,-1
20,5,1781,346,-1,-1,-1,-1
21,0,1567,615,-1,-1,-1,-1
21,1,1670,741,-1,-1,-1,-1
21,2,1723,515,-1,-1,-1,-1
21,3,1887,405,-1,-1,-1,-1
21,4,1866,556,-1,-1,-1,-1
21,5,1780,346,-1,-1,-1,-1
22,0,1575,609,-1,-1,-1,-1
22,1,1677,733,-1,-1,-1,-1
22,2,1729,511,-1,-1,-1,-1
22,3,1890,402,-1,-1,-1,-1
22,4,1871,552,-1,-1,-1,-1
22,5,1777,347,-1,-1,-1,-1
